,answer
53,"90后的小朋友一只。
做作且矫情，胆小且卑微。
基本算是独居吧。独来独往惯了，很自由。
偶尔有寂寞为伴。
六点半，自然醒。(然而最近几天是听着小朋友的军训声醒的，什么教官一二教官好。想把这群小朋友煮了煎了炸了炖了。)摸到手机，插上耳机，开着小灯，听网易云的日推。一般都是些纯音乐和民谣吧。分享几首歌。

然后穿上昨天准备好的衣服，叠被子。刷牙洗脸，把乱糟糟的短发用梳子顺两下。然后去食堂吃早饭。一般就一碗粥，一个茶叶蛋。或者是一个鸡肉卷，一杯豆浆。
像这样。


一边吃早饭一边听歌。
最近在用《felicity》练口语，所以就一般吃饭看这个。很老的一部剧了。1998年的，画风台词什么都很文艺。讲了女主的大学生活，清冷又很温暖，娓娓道来的感觉。就是感情混乱了点……我现在看的也有点懵。




然后听着bbc和cnn去上课。
中午休息二十分钟。
然后下午继续上课。
四点多结束一天的课程。
回来整理下房间，扫扫地，收拾收拾桌子。花没水了换水，修剪花枝。






吃水果。
苹果枣子火龙果，香蕉葡萄哈密瓜。


然后坐着背会儿单词。或者去图书馆写作业看书。
吃晚餐。
冒菜肥牛酸菜鱼，香锅快餐麻辣烫。
噫，吃啥好呢。


在阳台上看夕阳。
看漫天的云霞，看太阳一点点从窗户里斜下去。
跑步，洗澡。
听操场上的小情侣叽叽喳喳，你侬我侬。

然后洗衣服。习惯往衣服里扔些金纺，白瓶的。然后满屋子都是宝宝的奶香味，很温馨。


开小灯画会儿画。

请不要嘲讽我幼稚的画风……

上床。看会儿书。打开小灯。
可温暖了。
十一点。关灯睡觉，晚安。


附:
捧着煎饼看书真的是好舒服啊。

————————分割线啦啦啦————————"
54,"初三。
五点四十，妈妈准时来催促起床，总要赖上个十分钟再疯了一样爬起来，一手拿包子一手端豆浆风风火火跑到学校。
早读偶尔打打瞌睡，被同桌一巴掌拍醒，继续背提纲。
第一节课，正常。
第二节课，正常。
大课间活动，全体初三留在教室做政史选择。
第三节，正常。
第四节，最后一分钟，倒数。
11:20 准时放学。
中午12:10到校，写作业。
13:00准时午睡，同桌悄悄塞过来一只耳机，我俩都是周杰伦的粉。
14:00上课，18:10下课，去食堂。
18:25开始晚自习，天还没黑透，窗外的云真好看。
21:10放学。
外面已是黑漆漆的了，照例去隔壁班等他，从教室到校门口，每天几分钟的路程，就是我一天下来的动力。
我一定，可以跟他站在同一个高度，看同一个世界。
还有十几天，只有十几天了，我的三年，就快结束了。"
55,"上班狗……
七点起床 做早饭
七点半 做午饭便当 洗漱化妆
八点半收拾妥当 躺床上磨蹭到九点出门
九点半上班
十一点半吃午饭
十二点娱乐室打台球逗猫
下午
一点上班
四点吃下午茶
六点下班
六点半到家
七点吃东西
葛优瘫到十点
洗澡睡觉
迎接第二天的到来"
56,"总结下来大概就是：顶着高三狗的头衔过着小学生的生活
5:30 起床，收拾好东西在学校里散会儿步。
6:10 回教室，吃个水果，橘子橙子苹果什么的。
6:20 背单词啦，词组啦，语文古诗啊Balabala~~
6:35 去食堂吃早餐
6:50 回教室。路上经过水房去泡一杯玫瑰花茶或者红茶喝~
7:00 开始晨考
然后就是正常的上课啊什么的。和正常高中生一样啦。
然后到18:00放学，
答主住校所以就还是呆在学校。
18:25 吃完晚餐去溜达会儿。或者有时候不吃晚饭，去操场跑步、跳绳
18:35 回教室晚自习
直到21:50下自习回寝室
22:20 洗漱完毕。
22:25 敷面膜
22:40 写文章，看小说。喝牛奶
23:20 刷牙。躺在床上和室友聊会儿天。
然后困了就说晚安喽"
57,"六点到七点醒来，不确定，视头晚睡眠情况而定
洗漱，温水冲点蜂蜜水，出门跑步，海边读书。
八点左右回家，随便做点早餐，(网上学了很多十分钟早餐系列，可以保证一周不重样)
九点上班，回复昨天下班后的邮件，然后开始怼任务清单。
中午十二点吃饭，看一会儿搞笑视频就午休。
下午一点半上班，浏览新闻半小时，主要是外贸方面行情，因为这个时候午休完头脑不清晰。
接着发布产品，然后去车间跟进订单生产情况。
如果还没有下班就写开发信。
下午五点半下班，在公司吃晚饭，六点回家。
两小时英语，两小时西班牙语。中途休息一会儿刷知乎。
这样就到了十点，看天气和心情决定是不是出去外面夜跑，不然就在家里运动一下就冲凉准备睡觉。
十一点前一定得躺在床上。在脑子里准备明天要怼的任务清单，这可是重点。"
58,"大四工科在读，辅修心理学（12月初毕业答辩）、有实习、有第二第三外语在学、有出国读研计划，所以这几个月忙成狗⋯⋯

一周五天工作日中有两天有每天各一门主修专业课，剩下三天用来实习（每周二三五），周二晚上有韩语课；周末的话，周六全天辅修课，周日下午晚上都是法语课，这样看起来一周的每天过得都不怎么日常orz⋯⋯不过还是可以概括一下————

若是实习日，早上5:30之前起来，洗漱吃早餐（寝室存的麦片面包鸡蛋之类），简单化个妆，6:30挤公交转地铁，大概八点到公司（九点才上班），接来一些热水，拿着早上带的一小包坚果，边喝边吃边看看微博知乎新闻什么的，若是之前妆还有要补的就再补一下，同事若是前一天让帮带个早餐就下楼买一份，大概九点前就开始准备工作。中午外卖或者下楼吃饭。下午18:00准时下班，地铁转公交回到寝室大概七点半左右（若七点有韩语课则会提前半小时下班），吃点东西同时看个综艺之类，洗个澡，煮第二天早上的鸡蛋，若第二天还有实习就大概九点多上床睡觉了，第二天要上课的话就十点多睡。

若是上课日，早上大概六点半左右起床，洗漱，凭心情随便化化妆，七点半左右出门去食堂吃早餐，若是一整天的辅修课便直接去上课；若是只有一节专业课的日子，除了上课时间便泡在图书馆，写主修专业课的作业、辅修专业的大作业、毕业论文，还有准备申研的资料（包括忙一些什么找学校开的各种证明和成绩单）。下午四点多食堂吃个饭然后回寝室，当天没处理完的工作继续处理，有闲工夫的话可以少看会视频休息一下。
其实每件事用文字这么叙述出来，看着很轻巧，实则样样都耗费心神，每天晚上一躺到床上便睡着了可能被子都没来得及盖好，中午午饭后在公司或者图书馆的桌子上一趴下来便入梦。
这样的日子大概要持续到今年年底，希望自己撑得住，希望所有的努力都有合心意的结果。"
59,"求赞\(≧▽≦)/

一个 非文非理的大三狗的日常（少有的课多的班级)
早上6.50醒来 刷几分钟群消息 （万一不上课呢）
洗漱完大概7.25
食堂解决下早餐
慢悠悠的走到教室 等待上课
11.40下课了回来吃个饭睡个午觉
13.35醒来去上课
等到17.40下课回来吃饭
晚上大概一个人做会PPT看会动漫背会单词
这就是满课的一天 周末一般在图书馆
其他的没课时间可能出去打打球什么的

节假日做做兼职什么的"
60,"早上7点起床自己做个早餐或者出去吃饭。如果起早了就去跑步或者躺着。
8.30去上课或者去图书馆到12点30（看课表安排），不上课的时候就在图书馆看书或者咖啡馆看书。
中午有人约就一起吃个饭没人约就不吃饭直接回家。
下午不上课的时候就去健身，逛街，去超市买菜。回家做个蛋糕第二天早上吃。做饭跟家人视频。
吃完饭7点了。去楼下散步半小时。
回家敷面膜泡脚按摩小腿看个电影或者视频（这是同时进行的），也有练琴（每天交替）。然后去洗澡护肤刷牙。
10-10.30上床打一炮睡觉。

偶尔一天都没有做事情就是在家里呆着或者去美容院按摩一下午浪费时间。"
61,"学医的。大二了。不请自来。
虽然书还没念多少，但做实验每天都得抽空去看看养的大鼠。同组的妹子。。不能指望太多。12月还得考6级，6月没考好，想再刷刷，但忙成这样也是没太多办法了。
每天6点半起，泡一杯咖啡，一般是UGG，早上喝三分之一，吃个苹果（苹果早上吃比较好），吃点面包。上午从周一到周六都有课，我还是应该蟹蟹学校给我们留了周日 。
上午上完课去下午的教室占座，顺便把习题集刷了（学医就算到了大学也是很应试教育的），等食堂人少了再吃（食堂不好吃，又长膘）。
中午时间还算多，我一般睡45min，除非有事连睡觉的时间都没了。。其他时间看看哲学和逻辑（催眠神器，比庄子老子好多嘞）刷刷nba，噢，顺序反了。床上最好不要玩手机，尤其黑天。但，，经常管不住这手 。
中午起床喝完咖啡，可以保证直到晚上都很清醒。下午课一般比较重要，人也比较精神 。
下午吃完饭我一般会回宿舍打盘LOL人机拿首胜（说粗来有点尴尬 ），但毕竟偶尔要玩的。然后6点多去自习辣！基本还是先看下午的课，再看英语（最近6级抱佛脚，两天一套卷），再看医学英语。中间会出去连跑带走一个小时，听听网易云音乐的日推，毕竟流量用不完 。
回寝室基本就10点多快11点了。。诶诶，男生嘛，没什么时间打理自己。洗澡10分钟，袜子三双一起洗。咳咳，多的就不说了 。
然后就根据心情（主要是考不考）来决定是玩还是学，一般是会玩点游戏的。最近2k17上来了，一直没玩，有点可惜 。
肝到一点多，也差不多该睡了 。6小时睡眠，很好蛤蛤。
我一直没有起早的习惯，也不推荐别人起早，真的，除非自然醒。有句话叫做早起废一天。而且清晨清醒往往会使你在9到10的时候陷入无法自拔的疲惫。
当然，这都是平时的生活。。。考前一周嘛。大概就是起床学习吃饭学习吃饭学习睡觉，这样子吧。诶，尤其考试集中的时候，经常一周时间，每天只睡5小时。不是非得突击，只是人在江湖，身不由己啊。室友都到2、3点，想睡也没睡意的。"
62,"答主为大学生，平时上课期间就是按照课表按部就班的上课下课，没课的时候把自己想干的事（学语言，洗衣服，健身）按照重要程度按照次序填进计划表。大多数情况下在图书馆安静的看书，做题。
如果说放假期间，出去玩的话一般就是赶路。
在家里（两个人，我和我哥）挺有代表性的。
早晨7:00-7:30起床，
7:30-8:30一个或者一个半小时锻炼。
8:30-9:30去市场，超市买水果，买菜。
9:30回家，看书，看电影电视到十点（我哥一般九点多起床，但是我起的比较早，所以就出门，不在家里打扰他休息。）
10:00-11:30我哥和我开始煮饭，吃水果。（一般是他洗菜煮饭，我炒菜。）
11:30和哥哥在家里吃了饭，哥哥去给姑妈，姑父送饭，我负责家里家务打扫。
12:30-2:30睡午觉。
2:30-5:30一般就是逛街，去书店看书买书（我哥付钱），或者坐在家里的阳台（我也不知道该怎么称呼，就是卧室窗户下的一个小阶梯。）边晒太阳边读书。有时候窝在沙发下面。

我哥就去看一些研究报告，论文什么的。
5:30-6:30开始准备晚饭。
6:30-8:00一家人在一起吃晚饭，就近去川大散步或者去逛超市。
8:00-10:00一家人窝在沙发上看电视，一般是我和我哥耍手机，姑父和姑妈完成剩余工作，如果我爸妈在的话可能还会有家庭伦理剧和抗日神剧的争吵。
10:00-10:30洗澡，洗衣服。
10:30-11:00读一读睡前读物，励志故事啊，鸡汤啊。安然入睡。（可能我哥睡得晚一点，打游戏，完成作业论文？看一看今天的大事之类的。）
一天怎么过，当然要有自己的提升和家人的陪伴。（ づ ωど）您的小可爱在学习。"
63,"（多图预警）作为一条高二狗，运气很好地地呆在一个有意思的高中，然后就变成了一条悠闲的高二狗.....要说怎么悠闲，大概就是这个样子:
每天六点起床。起床的铃声听起来乱七八糟。电风扇和空调嗡嗡响，窗帘往往拉着，薄薄的光透进来，把其他室友们打着呼噜流着口水的睡相照得一清二楚。啊，真是一个爽朗清新的早上。
因为是寝室长，所以我有责任也有义务，把他们都nèng醒。之后是到阳台上看看有没有下雨，因为这决定了要不要晨跑，也就决定了要不要穿跑鞋，然后在心里算一算晨跑结束还有多长时间可以拿来吃早饭，又有没有足够的时间回寝室打扫卫生。啊，真是一个轻松愉悦的早上。

（这是另外一个寝室拍的，所以看不见对面女寝......而且拍女寝也太龌龊了吧？！）
在阳台上看完对面的女生寝室之后（划掉），在阳台上赞美完太阳以后，就和那些睡眼朦胧家伙们挤在厕所里洗洗刷刷。掐着点跑下楼，这时候往往有老师在寝室门口向我们招手，并致以我们亲切的问候：“还不快跑？！马上就迟到了，快跑起来啊？！是不是想被抓？！啊？！”
最后还是一边和同学聊天打屁一边提心吊胆地跑到广场上，广场上人头攒动，大家排着队，有很多同学都很勤奋地捧着书本在看，这个现象曾被某祝姓老师命名为“早晨六点钟现象”，被我们从早晨六点钟吐槽到晚上六点钟，成为了一个历久弥新，永远在我们的青春里熠熠生辉的梗。我在人群里走，摸摸自己乱得一团糟的头发，装作不在意地望向她的方向。诶，她这时候就背着那个红蓝相间的包，站在离我挺远的地方，一脸没睡醒傻蒙蒙的样子。同学渐渐来齐了，开始聊一些奇怪的东西，比如什么昨天的梦啦，今天的课程啦…她窸窸窣窣地摘下书包，放在地上……还是一脸茫然。年级组长也就是上文提到的某祝姓老师走上高台，同学们望向那边，想知道今天到底是集会还是晨跑。

（这就是那个广场）
大多数时间是晨跑，于是我们就要绕着两栋教学楼跑两圈。这是一件很有趣的事情，我们会路过天桥底下，有时候可以看见几只猫在木头长凳边懒洋洋地走来走去，还有那棵九十多岁了的老樟树，枝叶茂密，盈盈亭亭，像一把大伞，清晨的薄雾在叶子细细密密的缝隙里穿梭，秋天的早上，还可以闻到旁边桂花的香味。她跑步的时候看起来老是心不在焉，经常散了鞋带，要离开队伍蹲到路边去系，有时候一次晨跑会散两次的鞋带。我每次都会在心里哭笑不得地吐槽，干嘛不一次系紧了啊，真是的。如果是集会的话，就会轻松很多，任凭值周组长和年级组长在上边天花乱坠，我们在下面闭着眼睛站着补觉，或者低声说话，吐槽他们话里有趣的地方，期盼着他们说那句：“好了，吃饭！”
听到这句话之后，人群忽然散开，像一个被捅了一下的蜂窝，人们嗡嗡作响地四散而开。望向食堂的方向，人群黑压压一片密密麻麻，忽然间就没有了食欲。于是每每决定先回寝室。寝室那个有点儿秃头的毛大爷有时候回呆在楼下，看见我们向他打招呼，会愉快地伸起一只手，用奇怪的方言说：“呦，好！”
在寝室里敲敲打打一阵，一摸手表发现已经快上课了。慌不择路（诶？）地跑向食堂，饥不择食（诶？）地点上鸡蛋饼豆浆发糕什么的，囫囵吞枣（诶？）地把它们吃掉。穿过高三的教学楼，沿着之前晨跑经过的那条天桥走到我们高二的教学楼。那几只猫还在那里。它们慢悠悠地窝在一边，看到人经过就投以或好奇或疑惑的目光，看到手上拿着吃的的人经过，就会抖擞抖擞精神，跟着那个人一段路，而那个人往往也受不了它们的卖萌，于是就分一些吃的给它们。它们吃完之后一甩屁股就走，下次也再也不认得你。大自然真是残酷……

（这是我在另外的地方拍的，我们学校真正的主宰）
七点钟，早读开始。到班里的时候，大家差不多都到了。她窝在远远的窗户边的座位上，看着一本书，窗槛上爬山虎青葱萦绕。我眨眨眼睛，走到自己的座位上。
早读是很无聊的。如果是语文早读还有些乐趣，英语早读简直就是生不如死，浑浑噩噩度过半个小时，还要接受非人的听写折磨。啊做人好累，老师要是想给我的听写打分，只要数数对了几个就行了，毕竟掐着手指就能数清。

（我们的班里......下课的时候男生们就在后面，用一张桌子当球台打乒乓球.....）
早读结束之后，就是上午的课。语文课很有意思，语文老师认识我，在高一的时候还看完了我初中写的一篇二十多万字的长篇奇幻小说，这真是太不容易了，现在我自己读起来都会觉得狗屁不通，她竟然有耐心看完。数学课很刺激，因为我的数学最差了，可又偏偏是数学课代表。数学老师是一个性格飘渺的家伙，思维高度奇高，不是我这种文科男能理解的…所以每次上数学课都像坐过山车，吓人得不行。英语老师虽然不喜欢我的英语成绩，但是喜欢我的英语字体，说这是男生中不可多得的……哈哈哈，这都是初中老师罚抄写罚出来的啊，哈哈。她反倒是很喜欢我的同桌。我的同桌是一个脸很长的人，按他自己的说法，是脸窄不是脸长。之后我们就一直夸他颜值长，我们真的好淘气。历史课总能听年轻的历史老师悄然无息，润物无声地教我们一些人生的道理。生物老师是北方的大汉，声音很好听，用网易云，但是莫名其妙地用网易云来听套马杆，这就很匪夷所思了。化学老师是一个淡然如水的君子，仙风道骨，古道热肠，喜欢木雕，他曾经发出这样的感叹：“改变一个人的命运不知道是对是错。”诶这明明是中二吧？地理老师每每会在上课的时候把话题扯远，扯得很远很远，很远很远，远到我们都理不清到底是怎么聊到这个话题的，他曾经从能源的可再生聊到相声界的郭德纲，这是绕了多大的圈啊。物理老师年轻得很，同学们曾目击他在qq游戏大厅打双扣，因此获得了双扣高手的称号。政治老师是我们学校的工会主席，很会吹牛，老是装做不怕老婆的样子。但是要说吹牛，还是美术老师厉害，他一节课里有半节都在装逼，让我们受益匪浅。
她上课总是很认真。老师写板书的时候认真记，老师讲话的时候认真听。她一般会在上午第三节课之后十五分钟的大课间里去接水喝或者洗水果吃，于是我也常常在这个时候去接水，可是总是遇不到。偶尔我在接水的时候，她会走进来，更偶尔的偶尔，她会站在我的旁边，更偶尔的偶尔的偶尔，茶水间里只有我们两个人，并肩站着，然而什么话也不说。茶水间里只有水声咕嘟咕嘟。然后我先走了，或者她先走了。
灌完水以后，或者灌完水之前，我会和同学们一起去超市逛逛，又经过那棵老樟树，买一包小小酥或者可乐味的qq糖，走到班里的时候正好吃完。急急忙忙地用纸巾擦擦手，老师就走进了班里。真不是我不想洗手不爱干净，是真没时间，真的！

（去小卖部的那条路）
十一点四十五，上午的最后一节课的下课铃响起。生物老师拖堂的话他自己会很难受，于是铃一响就马上下课。而化学老师不拖堂的话大概会有生命危险，为了保护老师，我们每次都很耐心地听他拖堂。
食堂的饭非常丰盛，每个毕业了的学长学姐都说，大学里的伙食都比不上我们的食堂，他们可能是对的，不少高一的学弟学妹刚开学几个月就胖了不少，不得不说学校应该要负责任。于是我就和同学们一起吃面，一起吃盖浇饭，或者上二楼，烤肉饭物美价廉。吃完饭要是觉得还不管饱，还可以去点几只鸡腿或者蛋挞，最后再拿上一瓶酸奶。
不胖才怪啊。
呃，我不经常在食堂遇见她。她一般都坐在食堂靠门的地方，我和其他男生都坐在里面那一侧。有一次我拎着一包薯条边走边吃的时候，瞥见她坐在座位上，极其认真地在吃一个西瓜。真的好认真啊……比听讲还认真。
十二点二十午休开始。规定上说，铃声一响，就要脚离地，闭上嘴。
哈哈哈。
谁理你啊。呃，不要让我的老师看见了，不然到时候他们合伙蹲在我们寝室门后面抓我们就不好了。我们在午睡的时候大多都是在看书或者聊天。不过更多，更多还是在睡觉啊，我们都很乖的，真，真的！
下午两点开始上课。星期二的下午第一节课是英语，英语老师会给我们看二十分钟的电影。上一次我们看的是《苔丝》，看了好多个星期，最后大结局的时候大家都吐槽什么鬼剧情……星期一下午第三节课是班队活动，以前的班主任总是给我们看《极限挑战》，后来她生孩子去了，历史老师临危受命，成了新的班主任。第一次开班队课，就给我们看《釜山行》。
（来源网络）
哈哈。
第二天就有女生请假回家，原因是看了釜山行害怕……第二次历史老师就只给我们看《爆笑虫子》了。
（就是这两货）
至于她，很机智地在电影刚开始不久，就带着课本到走廊上去读书了。她是一个很认真的人，对什么好像都礼礼貌貌冷冷淡淡的，可能是因为太怀旧，放不下过去的人和事情吧。回忆总是越回忆越美好，每个人都知道，可是每个人都还是会忍不住去回忆……就像我现在做的这样。
（寝室里看操场的样子）
每个星期二的下午第四节课是自由活动时间，一直持续到六点半晚自习开始。同学们基本上去图书馆的去图书馆，打乒乓球的打乒乓球，吃饭的吃饭，社团活动的社团活动。我参加的书画社根本没什么活动，我也不想做作业，于是回寝室一个人洗了澡，一个人去食堂喝粥，然后一个人去学校里逛逛。学校很漂亮。一个人的时候，会感觉世界辽阔，很多人在一起的时候，会感觉世界辽阔得可怕，所以我比较喜欢一个人。
哈哈哈不对，我还喜欢另一个人。（抖机灵）
（老樟树下面的水洼）
（学校里的花～）
（走廊看出去的样子）
虽说六点半晚自修才开始，但是学校要求星期二之外都要六点到班开始晚读。我不喜欢读书，啊，这个读书是狭义的读书，因为我觉得读出来有点儿傻，所以一般我都是闷头做作业。但是她很喜欢，总是捧着书到走廊上去读。我坐在靠走廊的窗边，窗户打开时，偶尔就可以看见她的背影，在昏黄的阳光下，她的头发摇摇曳曳的，在朗朗的读书声里，看起来却静谧安宁。
（走廊看出去的另一边）
有一次似乎是因为人太多，她站在窗户外面面对着班里读书。离我就一丢丢的距离，伸个手就碰到了。

妈的吓死宝宝了，头都不敢抬，浑身是汗啊，作业都做不进去，简直可怕……咳画风不大对了。
六点半开始晚自修。第一节晚自习作业很多，大家大多都是在闷头做作业。晚自修一下课，交了作业之后，男生们就又用课桌当球台，铅笔盒当球网，开始打乒乓球。不得不说，经过半个月的苦练，他们都玩出高度来了……课桌巴掌点大捉襟见肘的尺寸之地，被他们玩得有模有样风生水起。我不喜欢运动……这辈子做过最激烈的运动，可能就是在nds上玩马里奥篮球3v3吧。
第二节晚自修开始，后排开始有些闹腾了。有时候值周老师会进来，拎走一两个同学，然后这才安静下来，唉，我们真的好调皮啊。第二节晚自修下课，她又会去接水喝。于是我也去，可是还是遇不到，真是麻烦啊。第三节晚自习只有四十五分钟。这时候我也做不进去作业了，于是就拿出小说随手补补写写，想想剧情的发展，时间很快就不痛不痒地过去了。
九点四十，晚自修结束。我去给我亲爱的母亲打一个电话，然后一个人走回寝室。寝室里大家又在为争着洗澡闹得不可开交。因为只有三间隔间，可是闹腾了一天，要洗澡的有好多。于是洗着的舒舒服服悠悠闲闲地洗，没轮到的只好先一边痛骂洗澡的人一边无可奈何地洗衣服，连洗衣服都没轮到的人只好去阳台上欣赏女生寝……呸，欣赏夜景，夜景。
我在吃晚饭的时候就洗过了，所以现在笑看各位你死我活，坐在一边喝牛奶或者啃饼干，抓到时机就洗漱好上床，从床柜里拿出一本漫画看到十点十分熄灯。
按规定来说，熄灯之后就应该脚离地，嘴闭上。
哈哈哈。
谁理你啊。厕所里洗澡的人还在继续洗，洗衣服的
人还在继续洗，在阳台上的人……啊，他们回来了。
大概要到十点二十，大家才能真的上床，安静下来……
开始聊天。
值周老师会在十点半到十点四十来一趟，寝管大爷会在十一点来。对面寝室会经常到其他寝室去串寝大牌，要抓也是他们先被抓。我们就可以放心大胆地聊天，讲讲今天发生的事，再把以前做过的事翻出来，最后不知不觉地，其他人都睡着了。然后我一个人想，今天有没有和她说过话啊。
没有。
那么明天会吗？
诶，谁知道呢。

一一一一一一一一一一一一一一一一一一一一一一
诶我哥哥好像也逛知乎，那啥，别告诉我妈啊……
写完了！等很多年后再回来自己看吧！
呃......关于为什么时间都用汉字不用阿拉伯数字......因为我不喜欢数学，而且感觉阿拉伯数字没汉字好看"
64,"看到好多高二党，我也想写一笔
坐标 新疆乌鲁木齐 高二理科重点班女~
我们和前面作答的同学有一点时差，两个小时，所以冬天 你们5、6点神马天蒙蒙亮的时候，我们这边tm的又黑又冷
所以我们作息比较晚一点，代价就是晚自习11点30下课，每次走在回家的路上，就是寒风呼呼的吹着（冬天）我瑟瑟的抖着...
我们冬天作息是早上八点40准时到班开始早自习
所以我的时间安排是
08:00起床 30分钟洗漱吃饭穿衣穿鞋
08:30出门 家近 10分钟飞到学校
08:40-13:25 早读＋五节课（一般为语文数学英语生物 偶尔化学）
13:25-13:40 飞奔回家
13:40-14:10 吃饭刷牙
14:10-14:30 背背单词或者把刷刷生物题
14:30-15:20 睡觉
15:20-15:30 飞奔到学校
15:30-18:55 10分钟午读＋四节理科的课
18:55-19:30 上wc+吃饭（本来是一个小时的...班主任....）
19:30-23:30 四节晚自习
23:30-23:45 飞奔回家
“潇洒”如我，作业怎么可能写的完..所以我就比较惨啦，回家另有安排
理想中的时间表
23:45-24:00 吃吃小水果，上上小厕所，喝点小水水，扣扣小脚,玩玩小手机
24:00-02:00 over所有作业
但现实往往比较残酷...就变成了这样
23:45-00:30 吃吃大水果，上上大厕所，喝点大水水，扣扣大脚 玩玩大手机..
WTF???

一般凌晨两点作业还写不完，一般都是由于手机的缘故...导致第二天所有计划退后五分钟 ，他娘的妈妈再也不用担心我的800了

其实上了一年半的高中，我很惭愧
直到现在我才适应了这种生活
1.我以前不喜欢被班主任压缩的30分钟，我总是在发呆，走神，和同桌说话，但我现在学会了把握它，我渐渐用这30分钟理解今天没学懂的，昨天落下的
2.早读午读 不合理的时间安排让人一天都昏昏欲睡，我以前总是趁老师不注意 ，睡一下 其实这失去的时间相加可以背会很多单词很多古诗，我慢慢的开始不再颓废，开始背诵，背诵让我一天有一个好开始a
3 周六的补课 高二开始实行的，一开始的抗拒，慢慢的习惯有它，上了一学期直到现在我才明白该怎么适应它
我理想中下学期的安排
周六早上咖啡，精神一天，上完课飞回家，周六晚上回家洗衣服，看看电视，刷刷微博，写掉化学作业，背诵课本上单词 晚上01:00准时睡觉
周天 洗澡 写数学，生物，物理作业 ，整理笔记，背诵语文
4.有能力就提前 英语单词我打算自己提前背 ，一周一个单元，在周六晚上周天闲暇，中午午睡前，英语早读课提前进行背诵
5.永远不要偷懒 语文上课打盹+下课不背+底子薄弱+侥幸心理+临时抱佛脚＜＝90
下半学期每篇文言文必背诵+小题巧练文言文 提前做（周天闲暇）+练字+背成语+态度＞90


大家一起共勉"
65,"2016.11.16
早晨听见闹钟铃响
翻身起床不会觉得寒意太重
也没有赖床或者逃去第一讲
刚刚好的水温洗头 不冷也不会烫
穿上昨天晚上看过天气预报准备的衣服
出门尽管雾气很重但也不会觉得寒冷
去食堂买了最近很喜欢的土豆饼
跨进教室的瞬间上课铃声想起
这门课本学期的最后一堂
老师开始点名恰好我也在
下课人多的下楼戏谑地想起歌词
我终于失去了你在拥挤的人潮
马克思老师依旧风趣幽默
用他独特的方式讲解当局政治
三讲连堂的课多多少少会让人疲惫
到了十二点好像也没有以前那种饥饿
放学走在梧桐大道上
金灿灿的秋叶泛着银光
看见树叶黄了又绿绿了又黄
感叹身边的人也是来了又走走了又来
好像没有什么是一层不变或者永恒的
同伴说不要这么多愁善感
瞬间想起应该要去看看红楼梦
想要看看林黛玉的多愁善感
依旧人声鼎沸的食堂却也恰好有位置
最后一碗蒸蛋被我买去味道也刚刚好
用洗洁精恰好洗去背带裤上滞留的油滴
外面晒衣服的空位也依旧为我留着
呆在寝室看收藏已久的视频
睡意来袭就爬上床睡午觉
在闹钟响之前前一分钟醒来
在一楼也能感受到窗外的阳光
换上喜欢的牛仔和卫衣
接一杯温度刚刚好的水
拿上橘子就往教室走去
一路上阳光暖洋洋
在心里已经编好要发的朋友圈
人群稀少的教室习惯的旧座位没有人占领
老师说今天来的人好少于是突如其来的点名
结果有一个班属于几乎没来的状态
阳光洒在脸上我们笑红了脸
依稀可见窗外红了的树叶
坐在这里什么也不做也不会觉得浪费
下课去吃了饭开始看红楼梦
刚开始的无法理解到后来的越来越痴迷
黑夜渐渐来袭也没有放纵自己不出门锻炼
手机里放着喜欢的歌
依旧每天的龙山8圈
大汗淋漓的回去洗澡
睡前刷一刷动态
喜欢的作家刚好更新了文章
今天的推送也很合自己的喜好
关掉手机渐渐戒掉失眠能够在11点安眠
也许会梦见未来的自己或者其他什么东西
但是都不会打扰今天是心满意足的一天
一觉醒来又是新鲜的一天
每天周而复始的生活
我也没有以前的厌倦或者郁闷
习惯这种每天都过得充实的生活
好似将来有一天我会变成一个巨人出现在你面前"
